uid,LOANFLAG8,LOANFLAG9,LOANFLAG10,LOANFLAG11
10561,1,1,1,1
10562,0,1,1,1
10569,1,1,1,1
10571,0,0,1,1
10572,1,1,1,1
10574,1,1,1,1
10576,0,0,0,1
10579,0,1,1,1
10580,0,0,1,1
1059,0,1,1,1
10591,0,0,1,1
10594,1,1,1,1
10596,0,0,1,1
1060,0,0,1,1
10600,0,0,0,1
1061,0,0,1,1
10611,0,0,1,1
10613,1,1,1,1
10616,1,1,1,1
10617,0,0,1,1
10619,0,0,1,1
1062,1,1,1,1
10621,0,1,1,1
10624,0,1,1,1
10626,0,0,1,1
10628,0,0,1,1
10629,0,1,1,1
1063,0,0,0,1
10634,1,1,1,1
10635,0,0,0,1
10639,1,1,1,1
10640,1,1,1,1
10641,0,1,1,1
10642,1,1,1,1
10645,0,1,1,1
10652,0,1,1,1
10657,0,0,1,1
10664,1,1,1,1
10669,1,1,1,1
10673,1,1,1,1
10674,1,1,1,1
10680,1,1,1,1
10681,1,1,1,1
10682,1,1,1,1
10683,1,1,1,1
10684,0,1,1,1
10686,1,1,1,1
10689,1,1,1,1
10690,1,1,1,1
10694,1,1,1,1
10697,0,0,0,1
107,1,1,1,1
10704,0,0,0,1
10705,1,1,1,1
10707,1,1,1,1
10708,0,1,1,1
1071,1,1,1,1
10710,1,1,1,1
10715,0,1,1,1
1072,1,1,1,1
10720,1,1,1,1
10721,0,1,1,1
10723,0,0,0,1
10729,0,0,1,1
10730,0,0,1,1
10731,1,1,1,1
10732,0,1,1,1
10733,0,1,1,1
10734,0,1,1,1
10737,1,1,1,1
10741,0,1,1,1
10742,0,0,1,1
10746,1,1,1,1
10747,1,1,1,1
10748,0,0,0,1
1075,0,0,1,1
10750,0,1,1,1
10754,1,1,1,1
10755,0,1,1,1
10756,1,1,1,1
10757,1,1,1,1
10758,1,1,1,1
1076,0,0,0,1
10760,1,1,1,1
10761,1,1,1,1
10762,1,1,1,1
10764,1,1,1,1
10770,1,1,1,1
10772,1,1,1,1
10775,0,0,0,1
10776,0,0,1,1
10777,0,1,1,1
10779,1,1,1,1
1078,0,1,1,1
10782,0,0,1,1
10784,1,1,1,1
10788,0,0,0,1
10791,0,1,1,1
10792,1,1,1,1
10794,0,1,1,1
10798,1,1,1,1
10799,1,1,1,1
1080,1,1,1,1
10802,1,1,1,1
10804,0,1,1,1
10808,0,1,1,1
10815,1,1,1,1
10819,1,1,1,1
10820,0,0,1,1
10825,1,1,1,1
10826,1,1,1,1
10830,1,1,1,1
10831,1,1,1,1
10832,0,0,1,1
10833,1,1,1,1
10838,1,1,1,1
10840,0,0,0,1
10841,1,1,1,1
10843,1,1,1,1
10844,1,1,1,1
10845,1,1,1,1
10849,1,1,1,1
10854,1,1,1,1
10855,0,1,1,1
10858,1,1,1,1
10859,1,1,1,1
10868,1,1,1,1
10872,0,0,1,1
10874,0,0,0,1
10875,1,1,1,1
10876,0,1,1,1
10882,0,1,1,1
10883,1,1,1,1
10888,0,1,1,1
10889,0,1,1,1
10897,0,0,1,1
10899,1,1,1,1
109,0,1,1,1
10900,0,1,1,1
10902,1,1,1,1
10903,1,1,1,1
10905,1,1,1,1
10906,1,1,1,1
10907,0,0,0,1
10908,0,1,1,1
10911,1,1,1,1
10912,1,1,1,1
10913,1,1,1,1
10915,0,0,0,1
10918,0,1,1,1
10923,1,1,1,1
10925,1,1,1,1
10927,1,1,1,1
10928,0,1,1,1
10932,0,0,0,1
10933,1,1,1,1
10934,0,1,1,1
10942,1,1,1,1
10944,1,1,1,1
10945,0,0,1,1
10951,1,1,1,1
10954,0,1,1,1
10957,1,1,1,1
10958,1,1,1,1
10960,1,1,1,1
10970,0,1,1,1
10974,1,1,1,1
10976,0,1,1,1
1098,1,1,1,1
10980,1,1,1,1
10981,1,1,1,1
10982,0,0,1,1
10985,1,1,1,1
10987,1,1,1,1
10989,0,0,1,1
10991,1,1,1,1
10994,0,1,1,1
1100,0,1,1,1
11005,1,1,1,1
11009,1,1,1,1
1101,1,1,1,1
11010,1,1,1,1
11011,1,1,1,1
11014,0,1,1,1
11016,0,0,0,1
1102,1,1,1,1
11020,0,1,1,1
11022,0,1,1,1
11023,0,1,1,1
11024,1,1,1,1
11025,0,0,1,1
11028,1,1,1,1
11030,1,1,1,1
11031,0,0,1,1
11033,1,1,1,1
11037,1,1,1,1
11040,0,1,1,1
11047,1,1,1,1
11048,0,1,1,1
11049,1,1,1,1
11050,1,1,1,1
11052,1,1,1,1
11055,0,1,1,1
11058,1,1,1,1
11062,0,0,1,1
11063,1,1,1,1
11065,0,0,0,1
11067,0,1,1,1
1107,1,1,1,1
11071,0,0,0,1
11072,1,1,1,1
11076,1,1,1,1
11077,1,1,1,1
11081,1,1,1,1
11082,1,1,1,1
11085,0,0,0,1
11088,1,1,1,1
11089,1,1,1,1
11092,0,1,1,1
11094,0,1,1,1
11095,1,1,1,1
11096,1,1,1,1
11101,0,0,1,1
11102,1,1,1,1
11103,1,1,1,1
11104,0,1,1,1
11105,0,1,1,1
11109,0,0,0,1
1111,1,1,1,1
11113,0,1,1,1
11115,1,1,1,1
11118,1,1,1,1
1112,0,0,1,1
11126,1,1,1,1
11127,0,1,1,1
1113,0,0,0,1
11131,0,0,1,1
11132,1,1,1,1
11133,1,1,1,1
11134,1,1,1,1
11136,0,1,1,1
11138,0,0,1,1
11147,1,1,1,1
11148,0,0,1,1
11150,1,1,1,1
11153,1,1,1,1
11155,0,1,1,1
11156,0,1,1,1
11157,0,0,0,1
1116,1,1,1,1
11160,0,1,1,1
11161,0,1,1,1
11163,0,1,1,1
11166,1,1,1,1
11168,1,1,1,1
11169,1,1,1,1
1117,0,1,1,1
11172,1,1,1,1
11176,1,1,1,1
11178,1,1,1,1
11180,0,1,1,1
11182,1,1,1,1
11186,0,1,1,1
11187,1,1,1,1
1119,1,1,1,1
11191,0,0,1,1
11198,0,1,1,1
112,0,1,1,1
11200,1,1,1,1
11203,0,1,1,1
11205,1,1,1,1
11212,0,0,1,1
11213,1,1,1,1
11218,0,1,1,1
11219,0,1,1,1
11223,0,0,0,1
11224,0,1,1,1
11225,1,1,1,1
11226,1,1,1,1
11229,1,1,1,1
1123,1,1,1,1
11231,1,1,1,1
11232,0,1,1,1
11241,0,0,1,1
11249,1,1,1,1
1125,1,1,1,1
11252,0,1,1,1
11256,1,1,1,1
11259,1,1,1,1
11260,1,1,1,1
11264,1,1,1,1
11269,1,1,1,1
1127,0,1,1,1
11270,0,1,1,1
11278,1,1,1,1
11281,0,1,1,1
11283,0,1,1,1
11286,0,1,1,1
11287,1,1,1,1
11290,0,1,1,1
11291,1,1,1,1
11293,0,0,1,1
11298,1,1,1,1
11305,0,0,0,1
11306,1,1,1,1
11307,1,1,1,1
11309,0,0,1,1
1131,1,1,1,1
1132,1,1,1,1
11321,1,1,1,1
11324,0,1,1,1
11326,0,0,1,1
11327,1,1,1,1
1133,1,1,1,1
11331,0,1,1,1
11335,1,1,1,1
11337,1,1,1,1
11343,0,0,1,1
11346,1,1,1,1
11351,1,1,1,1
11352,1,1,1,1
11354,1,1,1,1
11361,1,1,1,1
11362,0,1,1,1
11363,0,1,1,1
11369,0,1,1,1
11370,1,1,1,1
11378,1,1,1,1
11380,0,1,1,1
11382,1,1,1,1
11386,1,1,1,1
11387,0,0,1,1
11389,1,1,1,1
1139,1,1,1,1
11390,1,1,1,1
11392,0,0,1,1
11397,0,1,1,1
11398,1,1,1,1
11402,0,0,0,1
11406,1,1,1,1
11410,1,1,1,1
11411,0,1,1,1
11412,0,0,1,1
11415,1,1,1,1
11423,0,1,1,1
11424,1,1,1,1
11428,0,1,1,1
11429,1,1,1,1
11432,1,1,1,1
11434,1,1,1,1
11438,1,1,1,1
11439,1,1,1,1
11442,1,1,1,1
11443,1,1,1,1
11444,1,1,1,1
11445,0,1,1,1
11446,0,1,1,1
11450,0,1,1,1
11451,0,1,1,1
11454,0,1,1,1
11455,1,1,1,1
11461,1,1,1,1
11462,1,1,1,1
11463,0,0,1,1
11465,0,0,0,1
11466,0,0,0,1
11471,0,1,1,1
11472,0,1,1,1
11475,1,1,1,1
11476,1,1,1,1
11479,0,1,1,1
1148,0,0,1,1
11480,0,1,1,1
11481,0,1,1,1
11483,0,0,1,1
1149,0,0,0,1
11490,1,1,1,1
11492,0,1,1,1
11495,0,1,1,1
11497,0,1,1,1
115,1,1,1,1
11500,1,1,1,1
11501,1,1,1,1
11504,1,1,1,1
11512,1,1,1,1
11515,0,0,1,1
11516,1,1,1,1
11518,0,0,1,1
11519,1,1,1,1
1152,1,1,1,1
11520,1,1,1,1
11523,1,1,1,1
11524,0,0,0,1
11527,0,0,0,1
11528,1,1,1,1
11529,1,1,1,1
1153,0,1,1,1
11530,0,0,0,1
11534,1,1,1,1
11535,1,1,1,1
11537,1,1,1,1
11539,1,1,1,1
1154,0,0,0,1
11542,1,1,1,1
11545,0,0,1,1
11547,0,1,1,1
11551,0,1,1,1
11552,0,1,1,1
11555,1,1,1,1
11556,1,1,1,1
11557,0,0,0,1
11559,0,0,1,1
11563,0,0,1,1
11564,1,1,1,1
11566,0,0,1,1
11573,0,1,1,1
11577,1,1,1,1
1158,0,1,1,1
11580,1,1,1,1
11582,0,1,1,1
11583,0,1,1,1
11584,1,1,1,1
11585,1,1,1,1
11590,0,1,1,1
11592,1,1,1,1
11596,1,1,1,1
11597,0,0,0,1
116,1,1,1,1
1160,0,0,0,1
11600,1,1,1,1
11607,0,1,1,1
11609,1,1,1,1
11610,1,1,1,1
11613,0,1,1,1
11615,0,1,1,1
11616,0,0,1,1
11618,1,1,1,1
11621,0,1,1,1
11625,0,1,1,1
11629,1,1,1,1
11630,0,1,1,1
11633,0,1,1,1
11634,0,1,1,1
11638,0,0,1,1
11639,0,1,1,1
11642,1,1,1,1
11646,0,1,1,1
11649,1,1,1,1
11650,0,0,1,1
11654,1,1,1,1
11657,0,0,0,1
11659,1,1,1,1
1166,1,1,1,1
11663,0,0,0,1
11667,0,0,1,1
11668,0,0,1,1
11673,1,1,1,1
11675,0,0,1,1
11676,0,1,1,1
11680,1,1,1,1
11683,1,1,1,1
11684,1,1,1,1
11686,1,1,1,1
11687,0,1,1,1
11689,0,1,1,1
11691,1,1,1,1
11692,0,0,0,1
11693,0,1,1,1
11699,0,0,0,1
117,1,1,1,1
11700,0,1,1,1
11707,0,0,0,1
1171,0,1,1,1
11712,0,0,1,1
11713,0,0,0,1
11715,0,1,1,1
11721,0,0,1,1
11724,1,1,1,1
11728,0,0,1,1
11730,0,0,1,1
11731,1,1,1,1
11734,1,1,1,1
11738,1,1,1,1
11739,1,1,1,1
11742,1,1,1,1
11743,1,1,1,1
11745,1,1,1,1
1175,1,1,1,1
11750,1,1,1,1
11752,1,1,1,1
11755,0,0,1,1
11756,0,1,1,1
1176,1,1,1,1
11760,1,1,1,1
11761,1,1,1,1
11764,1,1,1,1
11766,0,1,1,1
11767,1,1,1,1
11769,0,1,1,1
1177,0,1,1,1
11770,1,1,1,1
11771,0,1,1,1
11775,1,1,1,1
11776,1,1,1,1
11779,1,1,1,1
11781,0,0,0,1
11783,1,1,1,1
11784,0,1,1,1
11785,1,1,1,1
11787,0,1,1,1
11788,0,1,1,1
11789,0,1,1,1
1179,1,1,1,1
11790,0,0,1,1
11793,1,1,1,1
11798,0,0,1,1
118,0,0,1,1
1180,0,1,1,1
11801,1,1,1,1
11802,1,1,1,1
11804,0,1,1,1
11805,0,0,1,1
11807,1,1,1,1
1181,0,0,0,1
11811,1,1,1,1
11812,0,1,1,1
11814,1,1,1,1
11815,0,1,1,1
11817,1,1,1,1
11821,1,1,1,1
11823,0,1,1,1
11824,0,1,1,1
11825,0,1,1,1
11828,0,1,1,1
11831,1,1,1,1
11835,1,1,1,1
11840,1,1,1,1
11841,1,1,1,1
11842,1,1,1,1
11848,0,0,0,1
11849,0,0,0,1
11851,1,1,1,1
11852,0,0,1,1
11855,1,1,1,1
11856,1,1,1,1
11858,1,1,1,1
1186,0,0,1,1
11862,1,1,1,1
11864,1,1,1,1
11866,0,1,1,1
11868,1,1,1,1
11874,1,1,1,1
1188,0,0,1,1
11880,0,0,0,1
11881,0,1,1,1
11889,1,1,1,1
11891,1,1,1,1
11893,0,1,1,1
11894,1,1,1,1
11897,1,1,1,1
11898,0,0,0,1
1190,1,1,1,1
11901,1,1,1,1
11902,0,0,0,1
11908,0,1,1,1
1191,1,1,1,1
11910,1,1,1,1
11911,1,1,1,1
11913,1,1,1,1
11915,1,1,1,1
1192,1,1,1,1
11920,0,1,1,1
11921,0,0,0,1
11922,1,1,1,1
11926,1,1,1,1
11927,0,0,1,1
11929,1,1,1,1
1193,1,1,1,1
11930,1,1,1,1
11931,0,0,1,1
11933,0,1,1,1
11936,1,1,1,1
11938,1,1,1,1
1194,1,1,1,1
11942,0,1,1,1
11943,1,1,1,1
11945,0,1,1,1
11949,1,1,1,1
1195,1,1,1,1
11952,0,1,1,1
11953,0,0,0,1
11955,1,1,1,1
11956,0,0,1,1
11959,1,1,1,1
11961,1,1,1,1
11968,0,0,0,1
11970,0,0,1,1
11972,1,1,1,1
11973,1,1,1,1
11976,0,1,1,1
11977,1,1,1,1
11983,0,1,1,1
11985,1,1,1,1
11987,0,0,0,1
11988,1,1,1,1
11989,1,1,1,1
11992,1,1,1,1
11995,0,1,1,1
12001,1,1,1,1
12002,0,0,0,1
12006,1,1,1,1
12007,0,1,1,1
12008,0,1,1,1
12015,0,0,1,1
12017,0,0,1,1
12018,1,1,1,1
12019,0,0,1,1
1202,0,1,1,1
12022,0,0,0,1
12023,1,1,1,1
12026,1,1,1,1
12030,0,0,1,1
12031,1,1,1,1
12035,0,0,0,1
12036,1,1,1,1
12037,1,1,1,1
12038,0,1,1,1
12039,0,1,1,1
12040,0,1,1,1
12047,1,1,1,1
1205,1,1,1,1
12053,1,1,1,1
12055,0,0,1,1
12058,0,0,1,1
12061,1,1,1,1
12063,0,1,1,1
12066,0,0,0,1
12068,1,1,1,1
1207,0,1,1,1
12071,0,1,1,1
12072,0,1,1,1
12073,0,1,1,1
12077,0,1,1,1
1208,0,1,1,1
12080,1,1,1,1
12084,0,0,1,1
12085,1,1,1,1
12086,1,1,1,1
1209,1,1,1,1
12094,0,1,1,1
12095,1,1,1,1
12096,1,1,1,1
121,1,1,1,1
1210,0,1,1,1
12100,0,1,1,1
12105,1,1,1,1
12108,1,1,1,1
12110,1,1,1,1
12112,1,1,1,1
12117,1,1,1,1
12118,0,0,1,1
12119,1,1,1,1
12124,1,1,1,1
12125,1,1,1,1
12127,0,1,1,1
12128,0,0,1,1
12131,0,0,0,1
12132,0,1,1,1
12134,0,0,1,1
12135,1,1,1,1
12136,1,1,1,1
12138,1,1,1,1
12139,1,1,1,1
12140,0,1,1,1
12141,1,1,1,1
12143,1,1,1,1
12144,0,1,1,1
12146,1,1,1,1
12148,0,0,1,1
12152,0,0,1,1
12153,1,1,1,1
12154,0,0,0,1
12157,1,1,1,1
12158,1,1,1,1
1216,1,1,1,1
12166,0,1,1,1
12167,0,1,1,1
1217,1,1,1,1
12170,0,0,0,1
12171,0,0,0,1
12176,1,1,1,1
12180,0,0,1,1
12181,1,1,1,1
12184,0,1,1,1
12186,1,1,1,1
12189,1,1,1,1
1219,1,1,1,1
12192,1,1,1,1
12194,1,1,1,1
12195,1,1,1,1
12197,1,1,1,1
12199,0,0,1,1
1220,1,1,1,1
12200,1,1,1,1
12204,0,0,1,1
12208,1,1,1,1
12210,1,1,1,1
12213,0,0,1,1
12216,1,1,1,1
12218,0,0,0,1
12219,0,1,1,1
12221,0,1,1,1
12223,0,1,1,1
12224,1,1,1,1
12225,1,1,1,1
12226,1,1,1,1
12228,0,0,1,1
1223,0,1,1,1
12235,0,1,1,1
12238,0,1,1,1
1224,0,0,0,1
12243,0,1,1,1
12246,0,0,1,1
12247,0,0,0,1
12248,1,1,1,1
12249,1,1,1,1
12250,1,1,1,1
12252,1,1,1,1
12256,0,0,1,1
12259,1,1,1,1
12260,1,1,1,1
12261,0,1,1,1
12262,1,1,1,1
12263,1,1,1,1
12264,0,0,1,1
12266,1,1,1,1
12269,0,1,1,1
12273,1,1,1,1
12275,1,1,1,1
12279,0,1,1,1
12284,0,0,0,1
12285,0,1,1,1
12286,0,1,1,1
12287,1,1,1,1
1229,1,1,1,1
12292,0,1,1,1
12294,1,1,1,1
12295,0,1,1,1
1230,1,1,1,1
12304,1,1,1,1
12305,1,1,1,1
1231,0,0,0,1
12313,0,1,1,1
12316,1,1,1,1
12318,1,1,1,1
12319,0,1,1,1
1232,0,0,0,1
12323,1,1,1,1
12325,0,0,1,1
12327,1,1,1,1
1233,0,0,1,1
12330,1,1,1,1
12332,1,1,1,1
12333,0,0,1,1
12334,1,1,1,1
12337,0,1,1,1
1234,0,1,1,1
12342,1,1,1,1
12343,0,0,1,1
12346,1,1,1,1
12348,0,0,1,1
12350,0,0,0,1
12353,0,0,1,1
12356,0,0,1,1
12358,0,0,1,1
12361,0,0,1,1
12364,1,1,1,1
12367,1,1,1,1
1237,0,0,0,1
12375,0,0,1,1
12379,1,1,1,1
1238,1,1,1,1
12381,1,1,1,1
12382,0,0,1,1
12383,1,1,1,1
12384,1,1,1,1
12386,1,1,1,1
12388,0,1,1,1
12389,0,0,0,1
1239,1,1,1,1
12391,0,1,1,1
12394,0,1,1,1
12396,0,1,1,1
12397,1,1,1,1
1240,1,1,1,1
12400,0,0,1,1
12401,1,1,1,1
12404,1,1,1,1
12405,0,0,0,1
1241,1,1,1,1
12410,1,1,1,1
12413,0,0,1,1
12416,1,1,1,1
12417,0,0,1,1
12420,1,1,1,1
12423,1,1,1,1
12425,1,1,1,1
12428,0,0,1,1
12429,1,1,1,1
12430,1,1,1,1
12432,0,0,0,1
12433,0,0,1,1
12434,1,1,1,1
12437,0,1,1,1
12438,1,1,1,1
1244,1,1,1,1
12442,1,1,1,1
12444,1,1,1,1
12445,0,1,1,1
12446,1,1,1,1
12447,1,1,1,1
12448,1,1,1,1
12450,0,0,1,1
12451,0,0,1,1
12454,0,1,1,1
12456,1,1,1,1
12460,1,1,1,1
12463,0,0,1,1
12465,0,1,1,1
12467,1,1,1,1
12468,1,1,1,1
12471,1,1,1,1
12475,1,1,1,1
12477,1,1,1,1
12478,0,0,1,1
12479,1,1,1,1
1248,0,0,1,1
12481,1,1,1,1
12483,1,1,1,1
12484,0,1,1,1
12485,0,1,1,1
12486,1,1,1,1
12488,1,1,1,1
12489,1,1,1,1
12491,1,1,1,1
12492,0,0,1,1
12493,0,0,1,1
12494,1,1,1,1
12498,0,1,1,1
12499,0,1,1,1
125,1,1,1,1
1250,1,1,1,1
12503,1,1,1,1
12505,1,1,1,1
12507,1,1,1,1
12508,0,1,1,1
12509,0,0,0,1
1251,0,0,1,1
12510,0,0,0,1
12511,1,1,1,1
12513,1,1,1,1
12515,1,1,1,1
12518,0,1,1,1
12525,1,1,1,1
12527,0,1,1,1
12531,1,1,1,1
12532,1,1,1,1
12534,0,1,1,1
12536,0,0,0,1
12538,1,1,1,1
12539,0,1,1,1
1254,1,1,1,1
12541,0,0,1,1
12542,0,0,1,1
12547,1,1,1,1
12549,1,1,1,1
12550,0,0,0,1
12554,1,1,1,1
12557,0,0,0,1
12560,1,1,1,1
12561,0,1,1,1
12563,1,1,1,1
12565,1,1,1,1
12567,0,1,1,1
12568,0,1,1,1
12574,0,1,1,1
12575,1,1,1,1
12578,0,0,1,1
1258,1,1,1,1
12581,0,1,1,1
12586,1,1,1,1
1259,1,1,1,1
12592,0,0,0,1
12593,1,1,1,1
12596,1,1,1,1
126,0,0,0,1
12600,1,1,1,1
12603,0,0,1,1
12604,0,0,1,1
12606,1,1,1,1
12608,1,1,1,1
12610,1,1,1,1
12613,0,0,1,1
12614,1,1,1,1
12616,0,0,0,1
12619,1,1,1,1
1262,0,1,1,1
12623,1,1,1,1
12629,1,1,1,1
12631,0,0,1,1
12633,1,1,1,1
12634,0,1,1,1
12640,0,1,1,1
12644,0,0,1,1
12646,1,1,1,1
12648,0,0,0,1
12653,0,1,1,1
12654,1,1,1,1
12657,1,1,1,1
12658,1,1,1,1
12661,0,0,0,1
12669,0,1,1,1
12671,0,0,1,1
12673,0,0,1,1
12674,0,0,1,1
12676,0,0,1,1
12679,1,1,1,1
1268,1,1,1,1
12681,1,1,1,1
12683,0,1,1,1
12684,1,1,1,1
12685,1,1,1,1
12692,1,1,1,1
12693,1,1,1,1
12697,1,1,1,1
12698,1,1,1,1
12699,0,0,1,1
127,1,1,1,1
1270,1,1,1,1
12702,1,1,1,1
12706,1,1,1,1
12707,1,1,1,1
12709,1,1,1,1
12710,0,1,1,1
12712,0,0,1,1
12718,1,1,1,1
12719,1,1,1,1
12721,1,1,1,1
12728,0,1,1,1
1273,1,1,1,1
12732,1,1,1,1
12733,1,1,1,1
12739,1,1,1,1
12740,1,1,1,1
12742,0,0,1,1
12744,1,1,1,1
12745,0,1,1,1
12746,1,1,1,1
12748,0,1,1,1
1275,1,1,1,1
12756,0,1,1,1
1276,1,1,1,1
12762,0,0,1,1
12763,1,1,1,1
12764,1,1,1,1
12765,1,1,1,1
12767,1,1,1,1
12769,1,1,1,1
12770,0,0,1,1
12772,1,1,1,1
12774,1,1,1,1
12776,1,1,1,1
12778,0,0,0,1
12779,0,0,1,1
12780,1,1,1,1
12783,0,0,1,1
12784,0,0,1,1
12786,1,1,1,1
12787,0,0,0,1
12789,1,1,1,1
1279,1,1,1,1
12790,0,0,1,1
12792,1,1,1,1
12795,0,0,1,1
12802,1,1,1,1
12803,0,0,1,1
12804,1,1,1,1
12805,0,0,0,1
12810,1,1,1,1
12811,1,1,1,1
12812,1,1,1,1
12813,1,1,1,1
12814,1,1,1,1
12815,1,1,1,1
